Disease,Workout
Fungal infection,Light exercise; Maintain hygiene; Avoid sweating in affected areas; Keep area dry; Gentle stretching; Walking
Allergy,Moderate exercise; Breathing exercises; Yoga; Avoid outdoor exercise during high pollen; Swimming; Light cardio
GERD,Light walking after meals; Avoid lying down post-exercise; Gentle yoga; Swimming; Avoid intense core exercises; Stay upright
Chronic cholestasis,Light walking; Gentle stretching; Avoid strenuous activity; Rest when fatigued; Consult doctor before exercise
Drug Reaction,Complete rest; Avoid all exercise until recovered; Gradual return to activity; Consult doctor; Light movement only when cleared
Peptic ulcer disease,Light walking; Gentle yoga; Avoid high-intensity exercise; Stress-reduction exercises; Breathing techniques; Gradual increase
AIDS,Moderate regular exercise; Walking; Light resistance training; Yoga; Avoid overexertion; Consult specialist; Build gradually
Diabetes,Regular aerobic exercise; Brisk walking 30 minutes daily; Swimming; Cycling; Strength training; Yoga; Monitor blood sugar
Gastroenteritis,Complete rest during acute phase; Light walking after recovery; Gradual return to normal activity; Stay hydrated
Bronchial Asthma,Swimming (best for asthma); Yoga; Breathing exercises; Walking; Avoid cold air exercise; Always carry inhaler; Warm-up essential
Hypertension,Regular moderate exercise; Brisk walking; Swimming; Cycling; Yoga; Avoid heavy weightlifting; 150 minutes weekly
Migraine,Regular gentle exercise; Yoga; Walking; Swimming; Avoid intense exercise during migraine; Stress reduction; Breathing exercises
Cervical spondylosis,Neck strengthening exercises; Gentle stretching; Yoga; Avoid heavy lifting; Swimming; Physical therapy exercises; Good posture
Paralysis (brain hemorrhage),Rehabilitation exercises; Physical therapy; Range of motion exercises; Gradual strength building; Consult physiotherapist
Jaundice,Complete rest during acute phase; Light walking after recovery; Avoid strenuous activity; Gradual increase in activity
Malaria,Complete rest during illness; Light walking after recovery; Gradual return to normal activity; Avoid overexertion; Build strength slowly
Chicken pox,Complete rest; Avoid all exercise; Light activity after scabs fall off; Gradual return to normal activity; Prevent sweating
Dengue,Complete bed rest; Absolutely no exercise during acute phase; Very gradual return to activity; Monitor platelet count; Doctor clearance
Typhoid,Complete rest during illness; Light walking after fever subsides; Very gradual activity increase; Avoid strenuous exercise; Full recovery first
hepatitis A,Complete rest during acute phase; Light walking after recovery; Avoid strenuous activity for 3-6 months; Gradual increase; Doctor clearance
Hepatitis B,Moderate exercise; Walking; Yoga; Swimming; Avoid contact sports; Regular activity beneficial; Consult doctor; Monitor liver function
Hepatitis C,Regular moderate exercise; Walking; Yoga; Avoid alcohol; Exercise improves liver function; Consult doctor; Build gradually
Hepatitis D,Light to moderate exercise; Walking; Gentle yoga; Avoid overexertion; Consult hepatologist; Regular gentle activity
Hepatitis E,Rest during acute phase; Light walking after recovery; Gradual return to activity; Avoid strenuous exercise initially; Full recovery first
Alcoholic hepatitis,Light walking only; Avoid strenuous exercise; Gentle stretching; Yoga; Consult doctor; Gradual activity increase; Liver recovery priority
Tuberculosis,Rest during active treatment; Light walking; Breathing exercises; Avoid overexertion; Gradual increase in activity; Consult doctor
Common Cold,Light activity okay; Walking; Gentle yoga; Avoid intense exercise; Listen to your body; Rest if fever present; Stay hydrated
Pneumonia,Complete rest during acute phase; Breathing exercises; Light walking after recovery; Very gradual return; Avoid cold air; Doctor clearance
Dimorphic hemmorhoids(piles),Regular walking; Pelvic floor exercises; Kegel exercises; Swimming; Yoga; Avoid heavy lifting; Avoid straining; Stay active
Heart attack,Cardiac rehabilitation program; Gradual supervised exercise; Walking; Light cycling; Stress test clearance; Monitor heart rate; Doctor supervised
Varicose veins,Regular walking; Leg elevation; Calf exercises; Swimming; Cycling; Avoid prolonged standing; Ankle rotations; Compression stockings
Hypothyroidism,Regular exercise; Aerobic activities; Walking; Swimming; Strength training; Yoga; Exercise improves metabolism; 30 minutes daily
Hyperthyroidism,Light to moderate exercise; Walking; Yoga; Swimming; Avoid overexertion; Monitor heart rate; Consult doctor; Adjust as needed
Hypoglycemia,Regular moderate exercise; Always carry glucose; Exercise after meals; Monitor blood sugar; Avoid fasting exercise; Have snacks ready
Osteoarthristis,Low-impact exercises; Swimming; Water aerobics; Cycling; Walking; Gentle stretching; Strength training; Avoid high-impact activities
Arthritis,Regular gentle exercise; Swimming; Water therapy; Yoga; Walking; Range of motion exercises; Avoid high-impact; Flexibility training
(vertigo) Paroymsal  Positional Vertigo,Vestibular exercises; Balance training; Gentle walking; Avoid sudden head movements; Tai Chi; Gradual return to activity
Acne,Regular exercise beneficial; Shower immediately after; Keep skin clean; Walking; Yoga; Swimming; Avoid touching face; Cleanse post-workout
Urinary tract infection,Light walking; Gentle yoga; Avoid intense exercise during infection; Stay hydrated; Rest; Resume normal activity after treatment
Psoriasis,Regular moderate exercise; Swimming; Walking; Yoga; Exercise reduces stress; Shower after sweating; Moisturize; Avoid skin trauma
Impetigo,Avoid exercise until healed; Risk of spreading; No sharing equipment; Light activity okay when not contagious; Resume normal after healing
