Disease,Diet
Fungal infection,Probiotics; Yogurt; Garlic; Coconut oil; Avoid sugar; Green vegetables; Lean proteins
Allergy,Anti-inflammatory foods; Omega-3 rich fish; Fresh fruits; Vegetables; Avoid trigger foods; Turmeric; Ginger
GERD,Small frequent meals; Avoid spicy foods; No caffeine; Oatmeal; Bananas; Melons; Green vegetables; Lean meats
Chronic cholestasis,Low-fat diet; Vitamin supplements; Avoid alcohol; Fresh fruits; Vegetables; Whole grains; Lean proteins
Drug Reaction,Light easily digestible food; Plenty of water; Fresh fruits; Avoid processed foods; Nutritious meals
Peptic ulcer disease,High fiber foods; Probiotics; Yogurt; Bananas; Apples; Leafy greens; Avoid spicy and acidic foods
AIDS,High protein diet; Nutrient-dense foods; Fruits; Vegetables; Whole grains; Adequate calories; Avoid raw foods
Diabetes,Low glycemic index foods; Whole grains; Leafy vegetables; Nuts; Berries; Lean proteins; Avoid sugar and refined carbs
Gastroenteritis,BRAT diet (Banana Rice Applesauce Toast); Clear liquids; Electrolyte solutions; Avoid dairy initially; Probiotics
Bronchial Asthma,Anti-inflammatory foods; Omega-3 fatty acids; Fruits rich in vitamin C; Vegetables; Avoid sulfites; Magnesium-rich foods
Hypertension,DASH diet; Low sodium; Potassium-rich foods; Bananas; Leafy greens; Berries; Whole grains; Lean proteins; Limit salt
Migraine,Regular meals; Magnesium-rich foods; Riboflavin sources; Avoid triggers; Stay hydrated; Omega-3 foods
Cervical spondylosis,Anti-inflammatory foods; Omega-3 rich fish; Nuts; Seeds; Fresh fruits; Vegetables; Adequate calcium; Vitamin D
Paralysis (brain hemorrhage),Soft nutritious foods; High protein; Fruits; Vegetables; Adequate hydration; Vitamin-rich diet
Jaundice,Light easily digestible food; Fresh fruits; Sugarcane juice; Coconut water; Avoid fatty foods; High fiber
Malaria,Nutrient-rich foods; Fresh fruit juices; Soups; Dal; Rice; High carbohydrate; Adequate fluids
Chicken pox,Soft bland foods; Plenty of fluids; Fresh fruits; Vegetables; Avoid spicy and acidic foods; Vitamin C rich foods
Dengue,Plenty of fluids; Papaya leaf juice; Pomegranate; Orange juice; Coconut water; Light meals; Avoid oily foods
Typhoid,High calorie diet; High protein; Boiled vegetables; Ripe bananas; Rice; Toast; Plenty of fluids
hepatitis A,High carbohydrate diet; Low fat; Fresh fruits; Vegetables; Plenty of fluids; Avoid alcohol; Light meals
Hepatitis B,Balanced diet; Fresh fruits; Vegetables; Whole grains; Lean proteins; Avoid alcohol; Adequate hydration
Hepatitis C,Mediterranean diet; Fresh fruits; Vegetables; Whole grains; Avoid alcohol; Iron-rich foods; Adequate protein
Hepatitis D,Nutritious balanced diet; Fresh fruits; Vegetables; Adequate protein; Avoid alcohol; Liver-friendly foods
Hepatitis E,Light easily digestible food; Fresh fruits; Vegetables; Adequate fluids; Avoid fatty foods; High carbohydrate
Alcoholic hepatitis,Absolutely no alcohol; High protein; Fruits; Vegetables; Whole grains; Vitamin supplements
Tuberculosis,High protein diet; Calorie-rich foods; Fresh fruits; Vegetables; Milk; Eggs; Meat; Vitamin supplements
Common Cold,Warm soups; Ginger tea; Honey; Citrus fruits; Garlic; Hot fluids; Vitamin C rich foods
Pneumonia,High protein diet; Fresh fruits; Vegetables; Warm liquids; Soups; Whole grains; Adequate hydration
Dimorphic hemmorhoids(piles),High fiber diet; Whole grains; Fresh fruits; Vegetables; Plenty of water; Avoid spicy foods
Heart attack,Heart-healthy diet; Omega-3 fatty acids; Whole grains; Fruits; Vegetables; Nuts; Lean proteins; Low sodium
Varicose veins,High fiber foods; Fruits; Vegetables; Whole grains; Flavonoid-rich foods; Berries; Adequate water
Hypothyroidism,Iodine-rich foods; Selenium sources; Zinc-rich foods; Fresh fruits; Vegetables; Lean proteins
Hyperthyroidism,Low iodine diet; Cruciferous vegetables; Calcium-rich foods; Vitamin D; Fresh fruits; Avoid iodized salt
Hypoglycemia,Complex carbohydrates; Frequent small meals; Whole grains; Proteins; Healthy fats; Nuts; Balanced diet
Osteoarthristis,Anti-inflammatory foods; Omega-3 rich fish; Fruits; Vegetables; Nuts; Olive oil; Turmeric; Ginger
Arthritis,Mediterranean diet; Omega-3 fatty acids; Fruits; Vegetables; Whole grains; Olive oil; Turmeric
(vertigo) Paroymsal  Positional Vertigo,Balanced diet; Stay hydrated; Ginger tea; Vitamin D; Magnesium-rich foods; Avoid excess salt
Acne,Low glycemic foods; Fresh fruits; Vegetables; Omega-3 fatty acids; Zinc-rich foods; Avoid dairy and sugar
Urinary tract infection,Cranberry juice; Plenty of water; Vitamin C rich foods; Probiotics; Avoid caffeine and alcohol
Psoriasis,Anti-inflammatory diet; Omega-3 fatty acids; Fruits; Vegetables; Whole grains; Avoid alcohol; Turmeric
Impetigo,Nutritious balanced diet; Fresh fruits; Vegetables; Adequate protein; Vitamin C; Zinc-rich foods
